2025-08-06 22:24:08 | INFO     | __main__:_test_data_preprocessing:338 | Testing preprocessing for EURUSD
2025-08-06 22:24:08 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 200 candles for EURUSD
2025-08-06 22:24:08 | INFO     | data_service.data_preprocessor:preprocess_data:36 | Preprocessing 200 candles for EURUSD
2025-08-06 22:24:08 | INFO     | data_service.data_preprocessor:preprocess_data:47 | Preprocessing completed - 200 candles output
2025-08-06 22:24:08 | INFO     | __main__:_test_data_preprocessing:372 |   EURUSD: 200/200 candles retained, indicators added: True
2025-08-06 22:24:08 | INFO     | __main__:_test_data_preprocessing:338 | Testing preprocessing for GBPUSD
2025-08-06 22:24:08 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 200 candles for GBPUSD
2025-08-06 22:24:08 | INFO     | data_service.data_preprocessor:preprocess_data:36 | Preprocessing 200 candles for GBPUSD
2025-08-06 22:24:08 | INFO     | data_service.data_preprocessor:preprocess_data:47 | Preprocessing completed - 200 candles output
2025-08-06 22:24:08 | INFO     | __main__:_test_data_preprocessing:372 |   GBPUSD: 200/200 candles retained, indicators added: True
2025-08-06 22:24:08 | SUCCESS  | __main__:_test_data_preprocessing:381 | Data preprocessing tests completed
2025-08-06 22:24:08 | INFO     | __main__:_test_performance:386 | Testing system performance...
2025-08-06 22:24:08 | INFO     | __main__:_test_performance:391 | Testing data fetching performance...
2025-08-06 22:24:08 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 1000 candles for EURUSD
2025-08-06 22:24:08 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 1000 candles for EURUSD
2025-08-06 22:24:08 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 1000 candles for EURUSD
2025-08-06 22:24:08 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 1000 candles for EURUSD
2025-08-06 22:24:08 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 1000 candles for EURUSD
